,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
32,2018,3.2761445879,SP.POP.GROW,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
33,2019,3.2429140284,SP.POP.GROW,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
34,2020,3.2185303521,SP.POP.GROW,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
35,2021,3.1959155077,SP.POP.GROW,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
36,2016,1.0090945902,SP.POP.GROW,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
37,2017,0.9529146313,SP.POP.GROW,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
38,2018,0.8940786814,SP.POP.GROW,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
39,2019,0.8614457839,SP.POP.GROW,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
40,2020,0.8336671489,SP.POP.GROW,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
41,2021,0.8136079378000001,SP.POP.GROW,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
42,2016,1.0571815776,SP.POP.GROW,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
43,2017,1.0371338969,SP.POP.GROW,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
44,2018,1.0158083491,SP.POP.GROW,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
45,2019,0.9933974933,SP.POP.GROW,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
46,2020,0.9700539914,SP.POP.GROW,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
47,2021,0.9474909593,SP.POP.GROW,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
48,2016,0.3612604083,SP.POP.GROW,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
49,2017,0.2938990059,SP.POP.GROW,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
50,2018,0.2357998084,SP.POP.GROW,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
51,2019,0.2026240276,SP.POP.GROW,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
52,2020,0.1859833448,SP.POP.GROW,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
53,2021,0.1650211574,SP.POP.GROW,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
54,2016,0.5028595136,SP.POP.GROW,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
55,2017,0.4718740026,SP.POP.GROW,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
56,2018,0.45926588840000004,SP.POP.GROW,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
57,2019,0.43741467580000004,SP.POP.GROW,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
58,2020,0.4280169481,SP.POP.GROW,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
59,2021,0.4010081976,SP.POP.GROW,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
60,2016,1.5619404981,SP.POP.GROW,AUS,Australia,East Asia & Pacific,High income,Not classified
61,2017,1.6845231085,SP.POP.GROW,AUS,Australia,East Asia & Pacific,High income,Not classified
62,2018,1.5361055157,SP.POP.GROW,AUS,Australia,East Asia & Pacific,High income,Not classified
63,2019,1.5216536775,SP.POP.GROW,AUS,Australia,East Asia & Pacific,High income,Not classified
64,2020,1.2829331373000001,SP.POP.GROW,AUS,Australia,East Asia & Pacific,High income,Not classified
65,2021,0.17883241800000002,SP.POP.GROW,AUS,Australia,East Asia & Pacific,High income,Not classified
66,2016,1.0813962987,SP.POP.GROW,AUT,Austria,Europe & Central Asia,High income,Not classified
67,2017,0.6946211036000001,SP.POP.GROW,AUT,Austria,Europe & Central Asia,High income,Not classified
68,2018,0.4870719248,SP.POP.GROW,AUT,Austria,Europe & Central Asia,High income,Not classified
69,2019,0.444673639,SP.POP.GROW,AUT,Austria,Europe & Central Asia,High income,Not classified
70,2020,0.4151767316,SP.POP.GROW,AUT,Austria,Europe & Central Asia,High income,Not classified
71,2021,0.44105352810000004,SP.POP.GROW,AUT,Austria,Europe & Central Asia,High income,Not classified
72,2016,1.1178572101,SP.POP.GROW,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
73,2017,0.9812618045,SP.POP.GROW,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
74,2018,0.8663169164000001,SP.POP.GROW,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
75,2019,0.8466467264,SP.POP.GROW,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
76,2020,0.6843653254000001,SP.POP.GROW,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
77,2021,0.5147767361,SP.POP.GROW,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
78,2016,0.9900057325,SP.POP.GROW,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
79,2017,1.0072853414,SP.POP.GROW,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
80,2018,1.0128001672,SP.POP.GROW,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
81,2019,0.9936594895,SP.POP.GROW,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
82,2020,0.9612534955,SP.POP.GROW,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
83,2021,0.9279176433,SP.POP.GROW,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
84,2016,3.8565769459,SP.POP.GROW,BHR,Bahrain,Middle East & North Africa,High income,Not classified
85,2017,4.6780474709,SP.POP.GROW,BHR,Bahrain,Middle East & North Africa,High income,Not classified
86,2018,4.921024296,SP.POP.GROW,BHR,Bahrain,Middle East & North Africa,High income,Not classified
87,2019,4.4686878342,SP.POP.GROW,BHR,Bahrain,Middle East & North Africa,High income,Not classified
88,2020,3.6153248081,SP.POP.GROW,BHR,Bahrain,Middle East & North Africa,High income,Not classified
89,2021,2.7082033039,SP.POP.GROW,BHR,Bahrain,Middle East & North Africa,High income,Not classified
90,2016,1.0952884038,SP.POP.GROW,BGD,Bangladesh,South Asia,Lower middle income,IDA
91,2017,1.075535249,SP.POP.GROW,BGD,Bangladesh,South Asia,Lower middle income,IDA
92,2018,1.0535703002,SP.POP.GROW,BGD,Bangladesh,South Asia,Lower middle income,IDA
93,2019,1.0291966494,SP.POP.GROW,BGD,Bangladesh,South Asia,Lower middle income,IDA
94,2020,1.0027741814,SP.POP.GROW,BGD,Bangladesh,South Asia,Lower middle income,IDA
95,2021,0.9753223754,SP.POP.GROW,BGD,Bangladesh,South Asia,Lower middle income,IDA
96,2016,0.1649376605,SP.POP.GROW,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
97,2017,0.1506922161,SP.POP.GROW,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
98,2018,0.1434883265,SP.POP.GROW,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
99,2019,0.1328310818,SP.POP.GROW,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
100,2020,0.1218680077,SP.POP.GROW,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
101,2021,0.1172013023,SP.POP.GROW,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
102,2016,0.08772108790000001,SP.POP.GROW,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
103,2017,-0.109782323,SP.POP.GROW,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
104,2018,-0.21382420700000002,SP.POP.GROW,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
105,2019,-0.201786601,SP.POP.GROW,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
106,2020,-0.4234752503,SP.POP.GROW,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
107,2021,-0.4234775215,SP.POP.GROW,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
108,2016,0.5063000025000001,SP.POP.GROW,BEL,Belgium,Europe & Central Asia,High income,Not classified
109,2017,0.38522801840000004,SP.POP.GROW,BEL,Belgium,Europe & Central Asia,High income,Not classified
110,2018,0.4551846953,SP.POP.GROW,BEL,Belgium,Europe & Central Asia,High income,Not classified
111,2019,0.5404613271,SP.POP.GROW,BEL,Belgium,Europe & Central Asia,High income,Not classified
112,2020,0.4798382825,SP.POP.GROW,BEL,Belgium,Europe & Central Asia,High income,Not classified
113,2021,0.3773199008,SP.POP.GROW,BEL,Belgium,Europe & Central Asia,High income,Not classified
114,2016,2.0493638766,SP.POP.GROW,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
115,2017,1.9823970083,SP.POP.GROW,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
116,2018,1.9229790571,SP.POP.GROW,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
117,2019,1.8825983776,SP.POP.GROW,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
118,2020,1.8452955923,SP.POP.GROW,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
119,2021,1.8177878246999999,SP.POP.GROW,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
120,2016,2.7613609281000002,SP.POP.GROW,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
121,2017,2.7499022217,SP.POP.GROW,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
122,2018,2.734856203,SP.POP.GROW,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
123,2019,2.7152185498,SP.POP.GROW,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
124,2020,2.6923738134,SP.POP.GROW,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
125,2021,2.6682623505,SP.POP.GROW,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
126,2016,-1.0524709797,SP.POP.GROW,BMU,Bermuda,North America,High income,Not classified
127,2017,-1.0605345961000001,SP.POP.GROW,BMU,Bermuda,North America,High income,Not classified
128,2018,0.0704274978,SP.POP.GROW,BMU,Bermuda,North America,High income,Not classified
129,2019,-0.0109521314,SP.POP.GROW,BMU,Bermuda,North America,High income,Not classified
130,2020,-0.0281681326,SP.POP.GROW,BMU,Bermuda,North America,High income,Not classified
131,2021,-0.0407013155,SP.POP.GROW,BMU,Bermuda,North America,High income,Not classified
132,2016,1.2045829398,SP.POP.GROW,BTN,Bhutan,South Asia,Lower middle income,IDA
133,2017,1.1950739593,SP.POP.GROW,BTN,Bhutan,South Asia,Lower middle income,IDA
134,2018,1.1777791402,SP.POP.GROW,BTN,Bhutan,South Asia,Lower middle income,IDA
135,2019,1.1463792521,SP.POP.GROW,BTN,Bhutan,South Asia,Lower middle income,IDA
136,2020,1.1100611411,SP.POP.GROW,BTN,Bhutan,South Asia,Lower middle income,IDA
137,2021,1.0683873326,SP.POP.GROW,BTN,Bhutan,South Asia,Lower middle income,IDA
138,2016,1.4801959665,SP.POP.GROW,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
139,2017,1.4491444132,SP.POP.GROW,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
140,2018,1.4218908036,SP.POP.GROW,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
141,2019,1.3991333554,SP.POP.GROW,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
142,2020,1.3795275831,SP.POP.GROW,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
143,2021,1.3605862752,SP.POP.GROW,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
144,2016,-1.2647284581,SP.POP.GROW,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
145,2017,-1.0308801989,SP.POP.GROW,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
146,2018,-0.8270634518000001,SP.POP.GROW,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
147,2019,-0.6922669964,SP.POP.GROW,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
148,2020,-0.6132979853,SP.POP.GROW,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
149,2021,-0.5304191326000001,SP.POP.GROW,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
150,2016,1.8319731358,SP.POP.GROW,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
151,2017,2.0688476554,SP.POP.GROW,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
152,2018,2.1974164684,SP.POP.GROW,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
153,2019,2.1781688165,SP.POP.GROW,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
154,2020,2.0588750275,SP.POP.GROW,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
155,2021,1.9211497047,SP.POP.GROW,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
156,2016,0.8237521525,SP.POP.GROW,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
157,2017,0.8071452454,SP.POP.GROW,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
158,2018,0.7838442597,SP.POP.GROW,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
159,2019,0.7515508421,SP.POP.GROW,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
160,2020,0.7128727911,SP.POP.GROW,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
161,2021,0.6723843963,SP.POP.GROW,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
162,2016,0.7076589708000001,SP.POP.GROW,VGB,British Virgin Islands,Latin America & Caribbean ,High income,Not classified
163,2017,0.7195985025,SP.POP.GROW,VGB,British Virgin Islands,Latin America & Caribbean ,High income,Not classified
164,2018,0.7681719658,SP.POP.GROW,VGB,British Virgin Islands,Latin America & Caribbean ,High income,Not classified
165,2019,0.7956182907,SP.POP.GROW,VGB,British Virgin Islands,Latin America & Caribbean ,High income,Not classified
166,2020,0.6769562935,SP.POP.GROW,VGB,British Virgin Islands,Latin America & Caribbean ,High income,Not classified
167,2021,0.6132561257,SP.POP.GROW,VGB,British Virgin Islands,Latin America & Caribbean ,High income,Not classified
168,2016,1.1685698536,SP.POP.GROW,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
169,2017,1.1110277834,SP.POP.GROW,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
170,2018,1.0496428277,SP.POP.GROW,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
171,2019,1.0057422736,SP.POP.GROW,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
172,2020,0.9616750676,SP.POP.GROW,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
173,2021,0.9212649699000001,SP.POP.GROW,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
174,2016,-0.7013820978,SP.POP.GROW,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
175,2017,-0.7304431753,SP.POP.GROW,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
176,2018,-0.7220804052,SP.POP.GROW,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
177,2019,-0.7039056411,SP.POP.GROW,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
178,2020,-0.6002415185000001,SP.POP.GROW,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
179,2021,-0.5044418546,SP.POP.GROW,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
180,2016,2.9152130807,SP.POP.GROW,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
181,2017,2.8907508818,SP.POP.GROW,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
182,2018,2.8669791143000003,SP.POP.GROW,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
183,2019,2.8445964977,SP.POP.GROW,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
184,2020,2.823230736,SP.POP.GROW,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
185,2021,2.8011913984,SP.POP.GROW,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
186,2016,3.1770148554,SP.POP.GROW,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
187,2017,3.181200079,SP.POP.GROW,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
188,2018,3.1669116968,SP.POP.GROW,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
189,2019,3.1289321481,SP.POP.GROW,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
190,2020,3.0761017601,SP.POP.GROW,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
191,2021,3.0205628492,SP.POP.GROW,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
192,2016,1.212273815,SP.POP.GROW,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
193,2017,1.190125956,SP.POP.GROW,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
194,2018,1.1588429663,SP.POP.GROW,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
195,2019,1.1286578622,SP.POP.GROW,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
196,2020,1.0944803464,SP.POP.GROW,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
197,2021,1.0578966509,SP.POP.GROW,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
198,2016,1.565214466,SP.POP.GROW,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
199,2017,1.5302745271,SP.POP.GROW,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
200,2018,1.490343156,SP.POP.GROW,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
201,2019,1.4464118419,SP.POP.GROW,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
202,2020,1.399965097,SP.POP.GROW,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
203,2021,1.3514073625,SP.POP.GROW,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
204,2016,2.6605020663000003,SP.POP.GROW,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
205,2017,2.6377543345000003,SP.POP.GROW,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
206,2018,2.6122841613,SP.POP.GROW,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
207,2019,2.5841789821,SP.POP.GROW,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
208,2020,2.5543099995,SP.POP.GROW,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
209,2021,2.5234607005000003,SP.POP.GROW,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
210,2016,1.1323486547,SP.POP.GROW,CAN,Canada,North America,High income,Not classified
211,2017,1.1995207106,SP.POP.GROW,CAN,Canada,North America,High income,Not classified
212,2018,1.4124558692,SP.POP.GROW,CAN,Canada,North America,High income,Not classified
213,2019,1.4361368232,SP.POP.GROW,CAN,Canada,North America,High income,Not classified
214,2020,1.1527970772,SP.POP.GROW,CAN,Canada,North America,High income,Not classified
215,2021,0.5477070063,SP.POP.GROW,CAN,Canada,North America,High income,Not classified
216,2016,1.3565803244999999,SP.POP.GROW,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
217,2017,1.2989876649,SP.POP.GROW,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
218,2018,1.2387069028,SP.POP.GROW,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
219,2019,1.2019971236,SP.POP.GROW,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
220,2020,1.1816343444,SP.POP.GROW,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
221,2021,1.1768578853,SP.POP.GROW,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
222,2016,0.9857840789000001,SP.POP.GROW,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
223,2017,1.2774834969,SP.POP.GROW,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
224,2018,1.5191174668,SP.POP.GROW,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
225,2019,1.6746616276,SP.POP.GROW,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
226,2020,1.7668449917,SP.POP.GROW,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
227,2021,1.8508283037000002,SP.POP.GROW,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
228,2016,3.1439329973,SP.POP.GROW,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
229,2017,3.0775067364,SP.POP.GROW,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
230,2018,3.023504548,SP.POP.GROW,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
231,2019,2.9861301473,SP.POP.GROW,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
232,2020,2.9593537101000003,SP.POP.GROW,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
233,2021,2.9343054117,SP.POP.GROW,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
234,2016,0.9238455278000001,SP.POP.GROW,CHI,Channel Islands,Europe & Central Asia,High income,Not classified
235,2017,1.0393790603,SP.POP.GROW,CHI,Channel Islands,Europe & Central Asia,High income,Not classified
236,2018,1.0791407995,SP.POP.GROW,CHI,Channel Islands,Europe & Central Asia,High income,Not classified
237,2019,1.0316347766,SP.POP.GROW,CHI,Channel Islands,Europe & Central Asia,High income,Not classified
238,2020,0.9216442076,SP.POP.GROW,CHI,Channel Islands,Europe & Central Asia,High income,Not classified
239,2021,0.7934662644,SP.POP.GROW,CHI,Channel Islands,Europe & Central Asia,High income,Not classified
240,2016,1.3252068784,SP.POP.GROW,CHL,Chile,Latin America & Caribbean ,High income,IBRD
241,2017,1.4251414209,SP.POP.GROW,CHL,Chile,Latin America & Caribbean ,High income,IBRD
242,2018,1.3910642329,SP.POP.GROW,CHL,Chile,Latin America & Caribbean ,High income,IBRD
243,2019,1.1829325657,SP.POP.GROW,CHL,Chile,Latin America & Caribbean ,High income,IBRD
244,2020,0.862530028,SP.POP.GROW,CHL,Chile,Latin America & Caribbean ,High income,IBRD
245,2021,0.5017312109000001,SP.POP.GROW,CHL,Chile,Latin America & Caribbean ,High income,IBRD
246,2016,0.5730509061,SP.POP.GROW,CHN,China,East Asia & Pacific,Upper middle income,IBRD
247,2017,0.6052450135,SP.POP.GROW,CHN,China,East Asia & Pacific,Upper middle income,IBRD
248,2018,0.4676720535,SP.POP.GROW,CHN,China,East Asia & Pacific,Upper middle income,IBRD
249,2019,0.3547408902,SP.POP.GROW,CHN,China,East Asia & Pacific,Upper middle income,IBRD
250,2020,0.2380408702,SP.POP.GROW,CHN,China,East Asia & Pacific,Upper middle income,IBRD
251,2021,0.08925219999999999,SP.POP.GROW,CHN,China,East Asia & Pacific,Upper middle income,IBRD
252,2016,1.3676499516,SP.POP.GROW,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
253,2017,1.5137474347,SP.POP.GROW,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
254,2018,1.5242359439,SP.POP.GROW,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
255,2019,1.3567880433,SP.POP.GROW,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
256,2020,1.0737674929,SP.POP.GROW,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
257,2021,0.7498063127,SP.POP.GROW,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
258,2016,2.3092736961,SP.POP.GROW,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
259,2017,2.2732445502,SP.POP.GROW,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
260,2018,2.2394163444,SP.POP.GROW,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
261,2019,2.2064650584,SP.POP.GROW,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
262,2020,2.1743550257,SP.POP.GROW,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
